time,_dt,ave_temp_interior,average_burnup,average_fission_rate,avg_clad_temp,avg_density,avg_fast_fluence,avg_gap,clad_inner_vol,creep_timestep,fis_gas_generated,fis_gas_percent,fis_gas_released,flux_from_clad,flux_from_fuel,fuel_elongation,gas_volume,initial_moles,max_clad_temp,max_fuel_temp,min_clad_temp,min_fuel_temp,num_lin_it,num_nonlin_it,pellet_volume,plenum_pressure,plenum_temp,rod_input_power,rod_total_power,tot_lin_it,tot_nonlin_it
71848841.23018,333966.87418834,651.21824809855,0.043437774042261,1.2707940113713e+19,627.52133609419,9911.3652280993,6.5168484566929e+25,-2.3993242526411e-08,0.00021249527513116,333155.20237452,0.097743665031394,2.6802038854029,0.0026197295079066,-77723.968889581,69649.0958472,0.050144251202091,9.2973707294852e-06,0.018688055983708,640.17402032655,1442.3625990952,562.4666043929,640.15058036111,33,9,-0.00020319790440168,11485665.18688,603.55191454639,77872.86432,78433.780268025,5368,1654
72181996.432555,333155.20237452,651.28967231373,0.043619582228715,1.2707949776779e+19,627.52112780226,9909.9558161644,6.5440472426737e+25,-2.3547658959364e-08,0.00021252402973354,332141.493808,0.098152769753459,2.6975774415679,0.0026477469751434,-77717.847938858,69646.064959005,0.050319906808911,9.2971015627694e-06,0.018688055983708,640.17520481078,1443.4007303813,562.46663780534,640.25166553177,31,10,-0.00020322692817077,11500879.773641,603.55161371129,77872.86432,78433.839908751,5399,1664
72514137.926363,332141.493808,651.35429951228,0.043800837331778,1.2707956068534e+19,627.5151745241,9908.5514124021,6.5711636064849e+25,-2.310365573487e-08,0.00021255269423672,331313.10100145,0.09856062992746,2.7153140312025,0.0026762306136619,-77701.283634516,69643.22867949,0.050495002103193,9.296836974519e-06,0.018688055983708,640.17496952964,1444.4136585745,562.46667290035,640.34977951175,31,8,-0.0002032558572622,11516324.210486,603.55133037327,77872.86432,78433.878741649,5430,1672
72845451.027364,331313.10100145,651.42722391433,0.043981640433061,1.2707959035665e+19,627.51413386337,9907.1449357405,6.5982126746909e+25,-2.2663353931947e-08,0.00021258141177458,330337.11200945,0.0989674730072,2.7333988487291,0.0027051757677951,-77693.615167497,69640.654820092,0.050670381455527,9.2965736587542e-06,0.018688055983708,640.17447426315,1445.4473230228,562.46670890104,640.45298889089,30,10,-0.00020328483811583,11532019.897303,603.55103339514,77872.86432,78433.897054869,5460,1682
73175788.139374,330337.11200945,651.49395875577,0.044161910939593,1.2707958714697e+19,627.5079513078,9905.7432230178,6.6251823945075e+25,-2.2223368077076e-08,0.00021261004118128,329523.87949116,0.099373117642405,2.7518393133413,0.0027345885181766,-77676.634858363,69638.271839818,0.050845228878934,9.2963118825979e-06,0.018688055983708,640.17296994791,1446.4578431315,562.46674534236,640.52819391592,31,8,-0.00020331372929869,11547963.409293,603.55077087812,77872.86432,78433.895073843,5491,1690
73505312.018865,329523.87949116,651.57242386334,0.044341737623851,1.2707955129224e+19,627.50909177308,9904.3380604298,6.6520860511604e+25,-2.1786791406584e-08,0.00021263875063297,328480.7741848,0.099777763588874,2.7706274501924,0.0027644701071814,-77672.969822698,69636.162960432,0.051020522805751,9.296049874272e-06,0.018688055983708,640.17575497086,1447.5027039362,562.46678021348,640.61061374899,30,10,-0.0002033427007587,11564161.166125,603.55049816332,77872.86432,78433.872944197,5521,1700
73833792.79305,328480.7741848,651.63870086163,0.044520994994785,1.2707948316617e+19,627.50095816571,9902.9402044324,6.6789048741115e+25,-2.1350196123542e-08,0.00021266732372553,327750.53663709,0.10018112846669,2.7897424328803,0.0027947954505735,-77652.408230635,69634.212380336,0.051194981863949,9.2957939898816e-06,0.018688055983708,640.17242387548,1448.5042327926,562.46682039536,640.69287155994,30,8,-0.00020337152973565,11580605.088301,603.55023132787,77872.86432,78433.830896587,5551,1708
74161543.329687,327750.53663709,651.71241786411,0.044699853744887,1.2707938337122e+19,627.49713336786,9901.5402795067,6.7056644047928e+25,-2.0915891174416e-08,0.00021269594801814,326874.84706341,0.10058359636803,2.8091650213946,0.0028255592064314,-77639.692872133,69632.509002824,0.051369723743921,9.2955376458757e-06,0.018688055983708,640.17267295213,1449.5254693121,562.46685928028,640.77937867461,30,8,-0.00020340041037226,11597290.14372,603.54996311084,77872.86432,78433.769302851,5581,1716
74488418.17675,326874.84706341,651.79079187614,0.044878234454972,1.270792521998e+19,627.4957443522,9900.1402636658,6.732352765216e+25,-2.0483881751266e-08,0.00021272458517309,325931.21601326,0.10098498858389,2.8289522584192,0.0028568171152082,-77631.386298881,69631.040583297,0.051544512395373,9.2952834700821e-06,0.018688055983708,640.17216960845,1450.5568159424,562.46689911214,640.87133668776,31,10,-0.00020342930170301,11614210.047984,603.54967506751,77872.86432,78433.688343467,5612,1726
74814349.392763,325931.21601326,651.86368745645,0.04505610000563,1.2707909012094e+19,627.4897772131,9898.7445426678,6.7589644054407e+25,-2.0051387506539e-08,0.00021275314413562,325135.50187535,0.10138522158816,2.8490498205557,0.0028885154737276,-77614.802134652,69629.75351395,0.051718822677371,9.2950313095446e-06,0.018688055983708,640.17132554848,1451.5666918161,562.46693889511,640.96104967439,30,8,-0.00020345811282608,11631394.736539,603.54941283468,77872.86432,78433.588307914,5642,1734
75139484.894639,325135.50187535,651.94087623553,0.045233531075525,1.2707889748839e+19,627.48592640478,9897.3483120498,6.7855113999967e+25,-1.9620950334604e-08,0.00021278172276969,324279.53331283,0.10178447692397,2.8694489761171,0.0029206536309411,-77602.039705246,69628.693339719,0.05189322922211,9.2947795036077e-06,0.018688055983708,640.17049115518,1452.5857832161,562.4669800652,641.05595455318,31,8,-0.00020348694326608,11648818.186356,603.54914248994,77872.86432,78433.469414539,5673,1742
75463764.427952,324279.53331283,652.0194334507,0.04541049474203,1.2707867481824e+19,627.48230580145,9895.9534109263,6.8119888267128e+25,-1.9191643879625e-08,0.00021281028565088,323420.29590456,0.10218268050883,2.8902015131612,0.0029532853782547,-77589.701162742,69627.84496874,0.0520675130174,9.2945307501267e-06,0.018688055983708,640.17032486634,1453.6049800425,562.46702182031,641.15346612397,30,8,-0.00020351575490075,11666476.023175,603.54886638351,77872.86432,78433.331981868,5703,1750
75787184.723856,323420.29590456,652.09894265742,0.045586989181346,1.2707842245798e+19,627.47845734044,9894.5598044177,6.8383964161429e+25,-1.8763493064802e-08,0.00021283883318475,322571.42573841,0.10257982823881,2.911268827809,0.0029863745631365,-77576.945608812,69627.203853549,0.052241676901611,9.2942847805931e-06,0.018688055983708,640.16986137978,1454.6232516269,562.46706456745,641.25382521247,31,8,-0.00020354454840416,11684397.673028,603.54857476423,77872.86432,78433.176224372,5734,1758
76109756.149594,322571.42573841,652.17963083261,0.045763020011908,1.2707814082449e+19,627.47463290942,9893.1674747306,6.8647350122554e+25,-1.8336493725691e-08,0.00021286736638758,321729.89376566,0.10297593275652,2.9326603502821,0.0030199343502837,-77564.234275414,69626.768850907,0.05241572331994,9.294042254086e-06,0.018688055983708,640.16932317197,1455.6409966471,562.46710809088,641.35697782039,30,8,-0.0002035733241335,11702562.601284,603.54827184965,77872.86432,78433.002399353,5764,1766
76431486.04336,321729.89376566,652.26558574945,0.045938591199975,1.270778302529e+19,627.47363266966,9891.7745242845,6.8910052117337e+25,-1.7911692503576e-08,0.00021289592355423,320812.0820934,0.10337100298685,2.9543478592783,0.0030539390138564,-77556.63285386,69626.557552637,0.052589877661473,9.2938020905298e-06,0.018688055983708,640.16897949237,1456.6711866491,562.46715262605,641.46516422897,31,10,-0.0002036021214637,11720979.357247,603.54795686677,77872.86432,78432.810713658,5795,1776
76752298.125454,320812.0820934,652.34466032771,0.046113661081691,1.2707749126597e+19,627.46718621823,9890.3863021462,6.9172007835246e+25,-1.7486123559587e-08,0.00021292439365842,320062.87403811,0.10376494517778,2.9762889509119,0.0030883445982461,-77539.184065296,69626.505507081,0.052763500070325,9.2935643225636e-06,0.018688055983708,640.16828955433,1457.676061538,562.46719754611,641.57082264964,30,8,-0.00020363082933585,11739633.998006,603.54765860376,77872.86432,78432.601489924,5825,1784
77072360.999492,320062.87403811,652.42701868719,0.046288321628872,1.2707712403525e+19,627.46198964898,9888.9986428049,6.9433354923314e+25,-1.706371712817e-08,0.00021295286680627,319635.15656451,0.10415796628428,2.9986954661843,0.0031233802126364,-77523.94923002,69626.67093106,0.052937093126594,9.2933329423853e-06,0.018688055983708,640.16584809514,1458.6891922345,562.46724540043,641.68283263006,33,9,-0.00020365953386388,11758498.301092,603.5473038127,77872.86432,78432.374834045,5858,1793
77391996.156056,319635.15656451,652.51250589162,0.046462748244243,1.270767286376e+19,627.45812968806,9887.6108210501,6.9694355877184e+25,-1.6640986967739e-08,0.00021298135093695,319226.15988293,0.10455046099749,3.0216492916776,0.0031591482641764,-77511.173478862,69627.051132712,0.053110750015594,9.2931009575275e-06,0.018688055983708,640.16519728597,1459.7089728386,562.46729238617,641.79646076841,33,9,-0.00020368824997942,11777703.391007,603.54698219735,77872.86432,78432.130793451,5891,1802
77711222.315939,319226.15988293,652.60155089301,0.046636951106775,1.270763053282e+19,627.45576995382,9886.2218547227,6.995502597125e+25,-1.6217725373357e-08,0.00021300986740082,318755.25533921,0.10494245222214,3.0449950173832,0.0031954924412839,-77501.157588036,69627.641722235,0.053284586201454,9.2928691477398e-06,0.018688055983708,640.16677604346,1460.7359470056,562.46733847023,641.91220164177,30,8,-0.00020371699825308,11797305.353609,603.54669360672,77872.86432,78431.869525643,5921,1810
78029977.571278,318755.25533921,652.69441397507,0.046810896396711,1.2707585446966e+19,627.45468676875,9884.8315145587,7.0215314640639e+25,-1.57974789044e-08,0.00021303842339311,318223.09270264,0.10533386385702,3.0687210810127,0.0032324024856255,-77493.39085607,69628.44553709,0.053458628614559,9.2926399918337e-06,0.018688055983708,640.16594773384,1461.7725544028,562.46738727151,642.0347471394,30,10,-0.00020374578340128,11817216.65585,603.54636940276,77872.86432,78431.591254429,5951,1820
78348200.663981,318223.09270264,652.78339569031,0.046984550649906,1.2707537644609e+19,627.4508971846,9883.4438622104,7.0475171848687e+25,-1.5376468954288e-08,0.00021306693223345,317781.23682714,0.10572462060111,3.0928068865801,0.003269858346762,-77480.778521547,69629.415178451,0.053632392018564,9.2924111287261e-06,0.018688055983708,640.16891733427,1462.7922536728,562.46743437449,642.15367769771,28,7,-0.00020377452110472,11837433.428184,603.54610106907,77872.86432,78431.296216874,5979,1827
78665981.900808,317781.23682714,652.87176049088,0.047157963111688,1.270748713817e+19,627.44401748536,9882.0563878428,7.0734671324642e+25,-1.4956729386903e-08,0.00021309544962914,317376.45001185,0.10611483326625,3.1172965574009,0.0033079140443006,-77462.482162492,69630.580762646,0.053806174612881,9.2921862734073e-06,0.018688055983708,640.16436058212,1463.8109695334,562.46748881459,642.28118046062,31,8,-0.00020380326335573,11857941.916015,603.5457551723,77872.86432,78430.984489644,6010,1835
