time,_dt,ave_temp_interior,average_burnup,average_fission_rate,avg_clad_temp,avg_density,avg_fast_fluence,avg_gap,clad_inner_vol,creep_timestep,fis_gas_generated,fis_gas_percent,fis_gas_released,flux_from_clad,flux_from_fuel,fuel_elongation,gas_volume,initial_moles,max_clad_temp,max_fuel_temp,min_clad_temp,min_fuel_temp,num_lin_it,num_nonlin_it,pellet_volume,plenum_pressure,plenum_temp,rod_input_power,rod_total_power,tot_lin_it,tot_nonlin_it
71382653.553398,291729.39881772,656.54309966864,0.04338706544742,1.3270105960363e+19,630.23522630344,9903.5895408025,6.5092932968259e+25,-2.2722554667698e-08,0.00021266775255074,291404.34363036,0.097629560567765,3.3267283212515,0.0032478702413212,-81110.122280763,72713.334439824,0.051303137083917,9.3085997792293e-06,0.018688055983708,643.36508745869,1487.3551382548,562.48990253973,646.43156189671,34,9,-0.00020335915277151,11834051.426444,605.14701015315,81318.32352,81903.484413288,5430,1701
71674057.897028,291404.34363036,656.6561193128,0.043553124303356,1.3270113241096e+19,630.23757831466,9902.1991403485,6.5341357556273e+25,-2.230724280871e-08,0.00021269622370339,291147.50753019,0.098003226151417,3.3573244135113,0.0032902862376102,-81108.369277042,72710.159278255,0.051476697998916,9.3083844884545e-06,0.018688055983708,643.37140113121,1488.4502306806,562.48993421885,646.60150911884,27,7,-0.00020338783921494,11856820.517939,605.14725883738,81318.32352,81903.529350184,5457,1708
71965205.404558,291147.50753019,656.76139464721,0.043719036872134,1.3270117595804e+19,630.23059832801,9900.8110152012,6.5589565901023e+25,-2.1893278433848e-08,0.00021272465904994,291107.04824159,0.098376562559755,3.3883067225957,0.0033332996826708,-81089.505210087,72707.159728858,0.051650031234077,9.3081727275205e-06,0.018688055983708,643.36661823304,1489.5248330318,562.48998007949,646.77513946126,31,8,-0.00020341648632242,11880022.385025,605.14745620137,81318.32352,81903.556227574,5488,1716
72256312.4528,291107.04824159,656.87185106364,0.043884926421162,1.327011904476e+19,630.22718434473,9899.4200584501,6.5837742463374e+25,-2.1480278247929e-08,0.00021275316057267,290937.6026413,0.098749847169059,3.4196412612752,0.0033768905192393,-81077.153449992,72704.375854854,0.051823753398101,9.3079605590652e-06,0.018688055983708,643.3659402203,1490.6104155768,562.4900214209,646.94917348593,31,8,-0.00020344520001361,11903547.786673,605.14768311902,81318.32352,81903.56517057,5519,1724
72547250.055441,290937.6026413,656.9842789924,0.044050719410368,1.3270117601148e+19,630.22421564615,9898.0280223757,6.6085777276107e+25,-2.1068020794805e-08,0.00021278169267939,290718.96001576,0.099122914499485,3.4513419531964,0.0034210707333517,-81065.610007474,72701.797880772,0.05199765207969,9.3077486402787e-06,0.018688055983708,643.36709822496,1491.6993325972,562.49006344196,647.10082618945,30,8,-0.00020347394403911,11927386.652243,605.14790717447,81318.32352,81903.556260558,5549,1732
72837969.015457,290718.96001576,657.09711139483,0.044216387768412,1.3270113275597e+19,630.22037638835,9896.6357963853,6.6333628391567e+25,-2.0656490001683e-08,0.00021281024216907,290502.48931956,0.099495701384908,3.4834156990441,0.003465848881916,-81052.466183003,72699.419681867,0.052171620878138,9.30754220278e-06,0.018688055983708,643.36537093229,1492.7883993525,562.49010653196,647.25541024679,31,8,-0.00020350269996629,11951538.126352,605.14810482853,81318.32352,81903.529563127,5580,1740
73128471.504777,290502.48931956,657.20908374157,0.044381932697114,1.3270106072716e+19,630.21450649733,9895.2438458709,6.6581297655355e+25,-2.0246765853224e-08,0.00021283879952985,290305.81062074,0.099868210529666,3.5158732053579,0.0035112396546829,-81035.568632093,72697.236932394,0.052345604615915,9.3073413761455e-06,0.018688055983708,643.36209255554,1493.8752431677,562.49015331741,647.41518880676,34,9,-0.00020353145815371,11976006.180286,605.14826387627,81318.32352,81903.485106732,5614,1749
73418777.315397,290305.81062074,657.32809814576,0.044547365439411,1.3270096007593e+19,630.21344710409,9893.8490553464,6.6828801935474e+25,-1.9835064652052e-08,0.00021286742362363,289970.25209816,0.10024046723261,3.548613436989,0.0035571466895171,-81027.530924836,72695.276362867,0.052519971672991,9.3071402079249e-06,0.018688055983708,643.36475453004,1494.9776364209,562.49019517069,647.57401287264,31,8,-0.0002035602834157,12000806.16178,605.14847554182,81318.32352,81903.4229845,5645,1757
73708747.567496,289970.25209816,657.44508422775,0.044712606818525,1.3270083125014e+19,630.20955342542,9892.455338267,6.7076022820579e+25,-1.9425343940737e-08,0.00021289603597752,289694.26456987,0.10061229333019,3.5816719101558,0.0036036022483709,-81014.270746883,72693.502640428,0.052694254686143,9.3069414997126e-06,0.018688055983708,643.36323121416,1496.0729647895,562.49024083264,647.73746063517,31,8,-0.0002035890944778,12025884.189529,605.14863516686,81318.32352,81903.343472841,5676,1765
73998441.832065,289694.26456987,657.56478975983,0.044877690746659,1.3270067431905e+19,630.20685268436,9891.0605473172,6.7323011090801e+25,-1.9016144699974e-08,0.0002129246795232,289371.74190484,0.10098376513162,3.6149950686553,0.0036505581296504,-81003.188550957,72691.932376815,0.052868708923097,9.3067436266668e-06,0.018688055983708,643.36425829479,1497.1733484485,562.49028673544,647.90369987267,31,8,-0.00020361793589653,12051257.729371,605.14879512549,81318.32352,81903.246614511,5707,1773
